1581225458787,34.74400233257151,116.30778828234811,34.5,0.25,134.8
1581225459789,34.743997862628255,116.30779098671768,34.49,0.5,153.69
1581225460785,34.74398850608101,116.30779865942075,35.27,0.93,146.0
1581225461787,34.74398260777881,116.307803206918,34.7,0.57,166.5
1581225462781,34.74397469919087,116.30781481671652,35.28,1.26,130.69
1581225463793,34.74396763985216,116.30782546489586,35.08,0.99,134.19
1581225464805,34.743961843010645,116.30783686452264,35.29,0.97,134.39
1581225465784,34.74395412337169,116.30784772301914,35.38,1.0,152.19
1581225466778,34.74394784065604,116.30785586684809,35.04,0.92,152.5
1581225467797,34.74394205233497,116.30786033422,34.29,0.91,166.3
1581225468778,34.7439364984326,116.30786129541106,33.63,0.87,160.5
