1582627146766,1.101153,-2.7243297,15.1822
1582627146769,0.76578605,-2.7674484,15.421748
1582627146770,0.50228345,-2.7866123,15.618177
1582627146773,0.27710846,-2.7578664,15.73316
1582627146774,0.15733454,-2.7243297,15.7762785
1582627146777,0.10463402,-2.6764202,15.718787
1582627146779,0.14775263,-2.6333015,15.555895
1582627146780,0.26752654,-2.590183,15.349883
1582627146783,0.4160462,-2.5374825,14.995353
1582627146784,0.64122117,-2.484782,14.58333
1582627146786,0.8759781,-2.3985448,14.051534
1582627146790,1.0915712,-2.2931437,13.4335
1582627146790,1.340701,-2.139833,12.72923
1582627146794,1.5802488,-1.9146581,12.02975
1582627146795,1.8197967,-1.6415734,11.2727785
1582627146797,2.0258079,-1.3301612,10.530181
1582627146799,2.2557738,-0.93730277,9.77321
1582627146800,2.447412,-0.52048945,8.977911
1582627146802,2.682169,-0.022229925,8.177821
1582627146804,2.9025528,0.38500142,7.6651883
1582627146805,3.1564736,0.8257695,7.0950646
1582627146810,3.4487221,1.2857013,6.3955846
1582627146812,3.7601342,1.7504241,5.700896
1582627146813,4.114665,2.1384916,4.982252
1582627146814,4.608134,2.2726386,4.033643
1582627146816,5.230958,2.3924124,3.132943
1582627146817,4.018846,1.9420624,3.0419147
1582627146820,4.1577835,2.3588758,1.9256217
1582627146821,4.545851,2.986491,0.66080904
1582627146824,4.7422805,3.5134964,-0.6040036
1582627146828,4.3877497,3.6236885,-1.8017429
1582627146829,4.244021,4.7303996,-2.6976519
1582627146830,4.162575,6.0095854,-3.5456512
1582627146832,4.2248573,6.9725676,-4.149312
1582627146834,3.8894901,7.930759,-4.7433906
1582627146835,3.8224168,8.601493,-5.0691757
1582627146839,4.0859194,8.979979,-5.078758
1582627146840,4.8908,8.759594,-4.724227
1582627146844,8.04325,6.4551444,-2.343121
1582627146845,7.2431602,7.149833,-2.4389403
1582627146845,6.7832284,7.260025,-2.5155954
1582627146849,6.572426,7.039641,-2.5874598
1582627146850,6.352042,6.694692,-2.568296
1582627146851,6.0597935,6.3018336,-2.5443413
1582627146853,5.781918,5.793992,-2.5155954
1582627146855,5.5327883,5.238241,-2.443731
1582627146858,5.2980313,4.562716,-2.347912
1582627146864,5.0872293,3.7003436,-2.0460818
1582627146864,2.8690162,2.885881,2.5101185
1582627146865,-1.452427,3.8009539,10.343333
1582627146866,-0.82960266,3.4703777,9.016238
1582627146868,1.1873903,2.0810003,7.9813914
1582627146869,2.1982822,0.9072158,9.37556
1582627146871,2.1647456,0.14066261,11.416508
1582627146874,1.101153,-0.38155168,13.146043
1582627146877,-0.45590797,-0.73129153,14.439602
1582627146882,-2.036924,-0.93730277,15.575058
1582627146884,-3.3975556,-1.0858225,16.768007
